qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
4416,107,32,19,15,16,01:12.2,,
4417,107,2,17,18,17,01:12.8,,
4418,107,10,17,19,18,01:13.5,,
4419,107,47,18,21,19,01:13.6,,
4420,107,46,18,20,20,,,
4421,71,21,4,6,1,01:33.2,01:28.3,
4422,71,15,7,16,2,01:35.3,01:29.2,
4423,71,17,3,7,3,01:36.7,01:28.3,
4424,71,35,15,11,4,01:37.0,01:29.9,
4425,71,14,9,14,5,01:38.3,01:28.9,
4426,71,32,9,15,6,01:37.5,01:30.0,
4427,71,2,3,8,7,01:39.7,01:29.4,
4428,71,18,16,3,8,01:41.5,01:30.6,
4429,71,31,1,10,9,01:45.3,01:29.3,
4430,71,8,1,9,10,01:45.0,01:30.6,
4431,71,22,6,2,11,01:45.5,01:31.3,
4432,71,39,17,19,12,01:44.4,01:32.7,
4433,71,4,4,5,13,01:47.7,01:29.8,
4434,71,33,17,18,14,01:46.8,01:33.5,
4435,71,23,7,17,15,01:51.5,01:31.2,
4436,71,40,18,20,16,01:50.9,01:37.5,
4437,71,27,18,21,17,01:49.2,,
4438,71,30,6,1,18,01:57.9,,
4439,71,11,16,4,19,,,
4440,71,13,15,12,20,,,
4441,72,4,4,5,1,01:32.6,01:35.1,
4442,72,15,7,16,2,01:32.7,01:35.3,
4443,72,21,4,6,3,01:32.8,01:35.7,
4444,72,17,3,7,4,01:33.2,01:35.7,
4445,72,23,7,17,5,01:33.1,01:35.9,
4446,72,8,1,9,6,01:32.8,01:36.6,
4447,72,32,9,15,7,01:33.7,01:35.9,
4448,72,14,9,14,8,01:33.8,01:35.9,
4449,72,18,16,3,9,01:33.6,01:36.2,
4450,72,2,3,8,10,01:33.5,01:36.5,
4451,72,31,1,10,11,01:33.3,01:36.8,
4452,72,22,6,2,12,01:34.2,01:37.3,
4453,72,30,6,1,13,01:34.1,01:37.6,
4454,72,13,15,12,14,01:34.2,01:37.7,
4455,72,19,16,4,15,01:34.9,01:37.0,
4456,72,35,15,11,16,01:34.9,01:38.1,
4457,72,39,17,19,17,01:37.8,01:39.9,
4458,72,33,17,18,18,01:37.9,01:40.1,
4459,72,40,18,20,19,01:39.3,01:41.9,
4460,72,27,18,21,20,01:40.4,01:42.6,
4461,73,4,4,5,1,01:29.8,01:32.1,
4462,73,30,6,1,2,01:30.2,01:32.1,
4463,73,15,7,16,3,01:30.0,01:32.7,
4464,73,2,3,8,4,01:30.4,01:32.8,
4465,73,17,3,7,5,01:30.6,01:32.7,
4466,73,23,7,17,6,01:31.0,01:32.3,
4467,73,32,9,15,7,01:30.6,01:32.7,
4468,73,37,1,10,8,01:30.7,01:32.6,
4469,73,8,1,9,9,01:30.6,01:32.9,
4470,73,21,4,6,10,01:30.4,01:33.3,
4471,73,18,16,3,11,01:31.0,01:33.4,
4472,73,13,15,12,12,01:30.9,01:34.3,
4473,73,11,16,4,13,01:31.1,01:34.5,
4474,73,14,9,14,14,01:31.2,01:34.6,
4475,73,22,6,2,15,01:31.8,01:35.9,
4476,73,35,15,11,16,01:32.3,01:35.7,
4477,73,33,17,18,17,01:33.4,01:36.0,
4478,73,39,17,19,18,01:33.2,01:37.0,
4479,73,27,18,21,19,01:34.0,01:36.4,
4480,73,40,18,20,20,01:34.8,01:36.4,
4481,74,8,1,9,1,01:19.9,01:23.0,
4482,74,4,4,5,2,01:19.9,01:23.6,
4483,74,18,16,3,3,01:20.5,01:23.6,
4484,74,17,3,7,4,01:20.4,01:24.1,
4485,74,15,7,16,5,01:20.5,01:24.0,
4486,74,11,16,4,6,01:20.9,01:23.8,
4487,74,25,1,10,7,01:20.6,01:24.1,
4488,74,13,15,12,8,01:20.6,01:24.3,
4489,74,2,3,8,9,01:20.8,01:24.4,
4490,74,22,6,2,10,01:20.9,01:24.4,
4491,74,23,7,17,11,01:21.0,01:24.4,
4492,74,35,15,11,12,01:21.0,01:25.3,
4493,74,21,4,6,13,01:21.7,01:25.0,
4494,74,30,6,1,14,01:20.3,01:27.0,
4495,74,14,9,14,15,01:21.6,01:26.4,
4496,74,24,9,15,16,01:21.8,01:26.4,
4497,74,39,17,19,17,01:23.1,01:29.0,
4498,74,33,17,18,18,01:25.1,01:29.2,
4499,74,40,18,20,19,01:26.5,01:30.6,
4500,74,27,18,21,20,01:25.9,,
4501,75,8,1,9,1,01:14.8,01:16.6,
4502,75,17,3,7,2,01:15.0,01:16.6,
4503,75,4,4,5,3,01:14.8,01:16.9,
4504,75,23,7,17,4,01:14.9,01:17.0,
4505,75,15,7,16,5,01:14.8,01:17.2,
4506,75,21,4,6,6,01:15.6,01:17.2,
4507,75,31,1,10,7,01:15.9,01:17.6,
4508,75,30,6,1,8,01:15.4,01:18.2,
4509,75,14,9,14,9,01:15.8,01:18.4,
4510,75,13,15,12,10,01:15.9,01:18.4,
4511,75,24,9,15,11,01:16.3,01:19.0,
4512,75,35,15,11,12,01:16.8,01:19.7,
4513,75,39,17,19,13,01:18.6,01:20.7,
4514,75,33,17,18,14,01:19.0,01:20.9,
4515,75,27,18,21,15,01:19.6,01:21.6,
4516,75,40,18,20,16,01:20.3,01:22.5,
4517,75,2,3,8,17,01:15.0,,
4518,75,22,6,2,18,01:15.7,,
